chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,spectral_flux,rms_variance,tempo_proxy,mood,timestamp,source
0.244575,0.247979,22.217515,7.204645,4.186821,20.957445,0.036058,19.733333,-1.872014,0.056742,3.436361,2.467197,3.594757,0.135221,0.00065251,3.0,Angry,2026-04-19T14:47:12.437249,real
0.248574,0.2537,33.246613,0.299263,9.829419,23.757286,0.072367,31.6,1.588685,3.971591,-2.886624,-3.836165,3.288786,0.265161,0.00281671,0.0,Angry,2026-04-19T14:48:04.809031,real
0.243016,0.241359,22.845079,8.493154,14.343871,36.224046,0.057369,41.466667,0.650699,4.428581,2.381479,-1.638655,0.339241,0.202443,0.00123879,3.0,Angry,2026-04-19T14:48:27.598206,real
0.251292,0.247816,37.500079,15.762891,14.088779,20.74835,0.074514,20.0,2.881231,3.399957,-0.646445,-1.844295,0.848625,0.219425,0.00244066,1.0,Angry,2026-04-19T14:50:19.469462,real
0.260942,0.259403,32.533307,6.150362,-5.075197,20.618825,0.041284,23.466667,-11.339655,-10.669278,-6.356535,-0.507904,4.682123,0.107901,0.00036162,2.0,Angry,2026-04-19T14:50:40.052284,real
0.252504,0.250034,20.546133,4.37953,3.553005,23.321099,0.02819,23.866667,1.446998,0.663308,0.143952,0.719538,2.535223,0.103816,0.00036894,0.0,Angry,2026-04-19T14:51:04.439016,real
0.25637,0.260779,30.406839,-8.712675,-0.778638,30.906502,0.054158,43.2,-2.525287,-8.355198,-5.598245,-3.035133,-0.666481,0.193644,0.0007808,2.0,Angry,2026-04-19T14:51:31.269203,real
0.244348,0.253098,30.273975,9.28116,7.030334,21.254811,0.051443,26.0,1.772249,3.911079,-0.209746,-4.703863,-0.810981,0.186963,0.00243883,1.0,Angry,2026-04-19T14:52:05.940895,real
0.245656,0.248093,25.701622,4.422826,12.452679,28.048399,0.054422,36.4,-1.54288,-1.873023,-0.97977,-7.647448,-2.669905,0.19395,0.00114613,3.0,Angry,2026-04-19T14:52:43.201983,real
0.254347,0.262221,21.119337,3.999252,2.194597,37.489015,0.036803,40.266667,-4.674148,-0.458336,-4.34059,-6.629896,-4.508216,0.139089,0.0012916,2.0,Happy,2026-04-19T15:31:04.059803,real
0.250271,0.260471,10.462605,5.413138,3.746957,41.469145,0.015268,55.333333,0.079966,1.476599,-1.321304,-1.294989,-0.667607,0.058608,8.621e-05,1.0,Happy,2026-04-19T15:31:12.182178,real
0.263688,0.25753,13.992334,3.181529,-1.817198,25.453685,0.020073,34.266667,-4.192881,-3.333135,-3.301927,-2.187096,-0.35484,0.0706,0.00036207,3.0,Happy,2026-04-19T15:31:19.276531,real
0.260561,0.266836,14.714991,4.238248,0.745466,34.887314,0.018008,48.666667,-4.099139,-2.270398,-3.401757,-2.558256,-0.941478,0.078143,0.00010153,3.0,Happy,2026-04-19T15:31:25.820462,real
0.256883,0.259274,18.018443,6.255406,3.429539,36.105716,0.022484,43.2,-2.625186,-1.75312,-3.264929,-2.907885,-1.787821,0.082384,0.00017082,2.0,Happy,2026-04-19T15:31:31.760147,real
0.258746,0.268945,12.157003,4.315301,3.154322,38.732206,0.015533,45.333333,1.134906,1.356703,-2.826345,-4.009151,-3.679263,0.05734,8.6e-05,2.0,Happy,2026-04-19T15:31:37.624254,real
0.255052,0.262487,15.325023,1.966374,-0.537717,38.097951,0.023152,40.933333,-1.83766,0.087399,-3.896183,-6.705443,-6.647043,0.066204,0.00027683,1.0,Happy,2026-04-19T15:31:43.464242,real
0.260731,0.265062,8.980699,5.170494,4.147643,43.027341,0.012623,48.666667,0.49627,0.998597,-2.065437,-2.9619,-2.510853,0.047695,7.724e-05,1.0,Happy,2026-04-19T15:31:50.080575,real
0.260241,0.262062,16.22774,4.743236,0.932329,37.298316,0.020147,44.933333,-3.172833,-2.046095,-4.253096,-3.755777,-2.603176,0.082718,0.00012753,2.0,Happy,2026-04-19T15:31:56.371191,real
0.261731,0.269376,12.642691,5.218887,3.568247,37.982134,0.019308,48.266667,0.241706,-0.708583,-4.361414,-6.178513,-5.294508,0.053351,0.00024089,2.0,Happy,2026-04-19T15:32:02.661552,real
