chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mood,timestamp
0.257547,0.275513,14.490707,9.936341,2.793741,15.68557,0.119846,43.331086,Sad,2026-04-12T01:51:53.588323
0.243872,0.246897,22.046855,12.666361,-1.89432,39.796146,0.034604,24.191979,Happy,2026-04-12T01:52:10.588323
0.253155,0.247603,23.597175,2.652945,9.612238,21.829384,0.055553,6.473676,Angry,2026-04-12T01:52:24.588323
0.250116,0.253933,7.212431,2.995628,0.307164,30.925854,0.066204,30.40662,Energetic,2026-04-12T01:52:51.588323
0.168271,0.235168,22.620964,5.163889,3.422379,13.224106,-0.0183,28.981039,Sad,2026-04-12T01:53:08.588323
0.247615,0.259429,3.308216,1.818786,3.043221,14.778206,0.059768,-0.025568,Happy,2026-04-12T01:53:35.588323
0.256067,0.242338,33.74666,22.564691,11.601336,27.933962,0.068502,42.777093,Angry,2026-04-12T01:53:55.588323
0.250434,0.232561,4.479746,-3.967091,-9.723799,41.111817,0.050799,31.220179,Energetic,2026-04-12T01:54:08.588323
0.249037,0.262058,27.041831,23.596745,12.669202,-7.506396,0.054841,18.78043,Sad,2026-04-12T01:54:36.588323
0.26528,0.246878,4.102387,-1.685723,6.803583,22.884349,0.046969,39.109194,Happy,2026-04-12T01:54:50.588323
0.251779,0.241498,9.333345,-4.908018,6.182745,31.938696,0.026966,36.475558,Angry,2026-04-12T01:55:02.588323
0.263352,0.256088,24.606996,1.701573,6.675855,13.464979,0.057284,37.916395,Energetic,2026-04-12T01:55:24.588323
0.279224,0.244465,13.770197,14.828104,19.393601,29.265601,0.06214,19.196106,Sad,2026-04-12T01:55:46.588323
0.239963,0.233487,33.308871,19.315308,-0.105913,13.405966,0.00481,54.220827,Happy,2026-04-12T01:55:56.588323
0.253158,0.258255,47.173509,-3.534532,8.756051,33.250923,0.070638,51.307678,Angry,2026-04-12T01:56:11.588323
0.234356,0.243884,14.003965,-13.801699,-4.903081,26.901094,0.060136,61.412112,Energetic,2026-04-12T01:56:33.588323
0.266417,0.304078,56.913108,9.881284,10.536046,24.512144,0.026375,28.187244,Sad,2026-04-12T01:56:56.588323
